Detection Date,Run File Name,Sample ID,Cup Number,Auto Dilution Factor,Manual Dilution Factor,Analyte Name,Concentration Units,Peak Height,Peak Area,Peak Concentration,Analyte Name,Concentration Units,Peak Height,Peak Area,Peak Concentration

2/22/2023,OM_2-22-2023_11-17-20AM.OMN,dye,S16,1,1,TN,ug N/L,0.0372,0.583,-57.5,TP,ug P/L,0.0873,1.1,-15.8
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,dye,S16,1,1,TN,ug N/L,-0.0566,-0.62,-114,TP,ug P/L,0.0886,1.03,-18
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,nitrite in water,S1,1,1,TN,ug N/L,2.21,30.7,1430,TP,ug P/L,0.0938,1.15,-14.2
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,nitrate in water,S2,1,1,TN,ug N/L,2.12,29.5,1370,TP,ug P/L,0.101,1.3,-9.25
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,chk 25/260,7,1,1,TN,ug N/L,0.518,7.09,253,TP,ug P/L,0.139,2.36,25
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,water,S3,1,1,TN,ug N/L,-0.0544,-1.51,-156,TP,ug P/L,0.0954,1.2,-12.6
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,bisulfate,S4,1,1,TN,ug N/L,-0.0206,-0.453,-106,TP,ug P/L,0.0174,0.177,-45.2
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,waterblank,20,1,1,TN,ug N/L,0.12,2.25,21.3,TP,ug P/L,0.0912,1.63,1.27
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,waterbnal,21,1,1,TN,ug N/L,0.118,1.76,-1.84,TP,ug P/L,0.0902,1.57,-0.434
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,waterbnalk,22,1,1,TN,ug N/L,0.117,1.79,-0.506,TP,ug P/L,0.0908,1.55,-1.37
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,waterblnak,23,1,1,TN,ug N/L,0.136,2.5,33.1,TP,ug P/L,0.0838,1.37,-7.17
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,waterblank,24,1,1,TN,ug N/L,0.135,1.88,3.6,TP,ug P/L,0.0904,1.56,-0.962
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,digestchk,25,1,1,TN,ug N/L,0.718,10.1,398,TP,ug P/L,0.157,2.66,35.1
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,digestchk,26,1,1,TN,ug N/L,0.723,9.81,384,TP,ug P/L,0.158,2.69,36.1
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,digestchk,27,1,1,TN,ug N/L,0.705,9.76,382,TP,ug P/L,0.16,2.76,38.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,digsetchk,28,1,1,TN,ug N/L,0.74,10.5,417,TP,ug P/L,0.159,2.79,39.3
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,digestchk,29,1,1,TN,ug N/L,0.716,9.9,389,TP,ug P/L,0.157,2.61,33.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,spkblank,30,1,1,TN,ug N/L,0.522,7.34,265,TP,ug P/L,0.139,2.38,25.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,spkblank,31,1,1,TN,ug N/L,0.503,7.77,285,TP,ug P/L,0.135,2.25,21.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,spkblank,32,1,1,TN,ug N/L,0.52,7.14,255,TP,ug P/L,0.136,2.28,22.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,spkblank,33,1,1,TN,ug N/L,0.488,6.62,230,TP,ug P/L,0.134,2.24,21.2
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,spkblank,34,1,1,TN,ug N/L,0.486,6.71,234,TP,ug P/L,0.135,2.31,23.5
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S1,35,1,1,TN,ug N/L,0.591,8.16,304,TP,ug P/L,0.131,2.23,21.1
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S2,36,1,1,TN,ug N/L,0.46,5.97,198,TP,ug P/L,0.198,3.34,57.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S3,37,1,1,TN,ug N/L,0.86,11.7,475,TP,ug P/L,0.144,2.43,27.5
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S4,38,1,1,TN,ug N/L,0.798,11,443,TP,ug P/L,0.153,2.6,33
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S5,39,1,1,TN,ug N/L,0.51,7.02,249,TP,ug P/L,0.128,2.18,19.1
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S6,40,1,1,TN,ug N/L,1.05,15.3,655,TP,ug P/L,0.18,3.01,46.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S7,41,1,1,TN,ug N/L,0.332,4.29,118,TP,ug P/L,0.322,5.37,126
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S8,42,1,1,TN,ug N/L,0.536,8.1,301,TP,ug P/L,0.132,2.28,22.6
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S9,43,1,1,TN,ug N/L,0.959,13.2,552,TP,ug P/L,0.131,2.27,22.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S10,44,1,1,TN,ug N/L,0.587,8.09,301,TP,ug P/L,0.132,2.25,21.6
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,dupS5,45,1,1,TN,ug N/L,0.488,7.67,281,TP,ug P/L,0.123,2.12,17.3
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,spkS10,46,1,1,TN,ug N/L,0.943,12.8,529,TP,ug P/L,0.178,2.95,44.5
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,chk25/250,7,1,1,TN,ug N/L,0.515,7.07,252,TP,ug P/L,0.137,2.3,23.3
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,water,S3,1,1,TN,ug N/L,-0.00675,-0.0901,-89.2,TP,ug P/L,0.0936,1.16,-13.8
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,bisulfate,S4,1,1,TN,ug N/L,-0.0737,-1.73,-166,TP,ug P/L,0.0171,0.157,-45.8
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S11,47,1,1,TN,ug N/L,0.542,7.43,269,TP,ug P/L,0.116,2.03,14.5
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S12,48,1,1,TN,ug N/L,0.816,11.1,449,TP,ug P/L,0.174,3.01,46.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S13,49,1,1,TN,ug N/L,0.634,8.42,317,TP,ug P/L,0.133,2.28,22.5
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S14,50,1,1,TN,ug N/L,0.275,3.86,97.9,TP,ug P/L,0.0957,1.7,3.67
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S15,51,1,1,TN,ug N/L,1.32,18.4,808,TP,ug P/L,0.121,2.07,15.8
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S16,52,1,1,TN,ug N/L,0.505,7.05,251,TP,ug P/L,0.127,2.15,18.3
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S17,53,1,1,TN,ug N/L,0.557,7.64,279,TP,ug P/L,0.133,2.29,23
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S18,54,1,1,TN,ug N/L,1.02,14.2,601,TP,ug P/L,0.143,2.46,28.6
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S19,55,1,1,TN,ug N/L,0.522,9.86,387,TP,ug P/L,0.113,2.1,16.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S20,56,1,1,TN,ug N/L,0.526,7.83,288,TP,ug P/L,0.111,1.87,9.33
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,dupS15,57,1,1,TN,ug N/L,1.34,18.5,811,TP,ug P/L,0.127,2.2,20
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,spkS20,58,1,1,TN,ug N/L,0.862,11.8,483,TP,ug P/L,0.161,2.68,35.6
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,chk25/250,7,1,1,TN,ug N/L,0.524,7.35,265,TP,ug P/L,0.136,2.31,23.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,water,S3,1,1,TN,ug N/L,0.164,1.18,-29.4,TP,ug P/L,0.096,1.17,-13.6
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,bisulfate,S4,1,1,TN,ug N/L,-0.0382,-0.276,-98,TP,ug P/L,0.0187,0.176,-45.3
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S21,59,1,1,TN,ug N/L,0.603,9.69,379,TP,ug P/L,0.13,2.25,21.5
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S22,60,1,1,TN,ug N/L,0.463,6.12,206,TP,ug P/L,0.176,3.02,46.8
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S23,61,1,1,TN,ug N/L,0.969,12.9,537,TP,ug P/L,0.141,2.39,26.2
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S24,62,1,1,TN,ug N/L,0.862,11.9,484,TP,ug P/L,0.151,2.57,32.2
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S25,63,1,1,TN,ug N/L,0.6,8.65,328,TP,ug P/L,0.11,1.91,10.5
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S26,64,1,1,TN,ug N/L,0.599,9.77,382,TP,ug P/L,0.132,2.26,22
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S27,65,1,1,TN,ug N/L,1.94,25.7,1180,TP,ug P/L,0.66,10.9,322
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S28,66,1,1,TN,ug N/L,0.913,12.5,518,TP,ug P/L,0.16,2.75,37.9
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S29,67,1,1,TN,ug N/L,0.66,9.08,349,TP,ug P/L,0.13,2.3,23.3
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S30,68,1,1,TN,ug N/L,0.536,6.77,237,TP,ug P/L,0.257,4.15,84.8
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,dupS25,69,1,1,TN,ug N/L,0.547,7.63,279,TP,ug P/L,0.115,1.91,10.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,spkS30,70,1,1,TN,ug N/L,0.913,12.9,537,TP,ug P/L,0.274,4.44,94.3
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,chk25/250,7,1,1,TN,ug N/L,0.646,8.75,333,TP,ug P/L,0.141,2.32,23.9
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,water,S3,1,1,TN,ug N/L,0.0952,2.2,19.1,TP,ug P/L,0.0984,1.26,-10.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,bisulfate,S4,1,1,TN,ug N/L,0.0357,0.295,-71.1,TP,ug P/L,0.0202,0.194,-44.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S31,71,1,1,TN,ug N/L,0.477,6.76,237,TP,ug P/L,0.12,2.06,15.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S32,72,1,1,TN,ug N/L,0.48,6.68,233,TP,ug P/L,0.196,3.34,57.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S33,73,1,1,TN,ug N/L,0.534,7.27,261,TP,ug P/L,0.118,2.02,14
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S34,74,1,1,TN,ug N/L,0.879,12.1,497,TP,ug P/L,0.359,6.03,149
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S35,75,1,1,TN,ug N/L,0.929,12.8,530,TP,ug P/L,0.171,2.9,42.8
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S36,76,1,1,TN,ug N/L,0.661,8.93,342,TP,ug P/L,0.139,2.39,26.1
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S37,77,1,1,TN,ug N/L,0.691,9.47,368,TP,ug P/L,0.143,2.37,25.6
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S38,78,1,1,TN,ug N/L,0.451,5.98,199,TP,ug P/L,0.11,1.91,10.5
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S39,79,1,1,TN,ug N/L,0.449,6.42,220,TP,ug P/L,0.115,1.97,12.3
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S40,80,1,1,TN,ug N/L,0.493,6.87,242,TP,ug P/L,0.112,1.91,10.6
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,dupS35,81,1,1,TN,ug N/L,0.917,11.8,481,TP,ug P/L,0.174,2.97,45.2
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,spkS40,82,1,1,TN,ug N/L,0.847,11.6,474,TP,ug P/L,0.163,2.74,37.8
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,chk25/250,7,1,1,TN,ug N/L,0.533,9.63,375,TP,ug P/L,0.123,2.12,17.2
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,water,S3,1,1,TN,ug N/L,0.137,1.8,-0.0997,TP,ug P/L,0.0947,1.14,-14.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,bisulfate,S4,1,1,TN,ug N/L,-0.0581,-1.62,-161,TP,ug P/L,0.0171,0.167,-45.5
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S41,83,1,1,TN,ug N/L,0.258,5.05,154,TP,ug P/L,0.11,1.86,8.91
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S42,84,1,1,TN,ug N/L,0.904,12.4,510,TP,ug P/L,0.163,2.82,40.3
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S43,85,1,1,TN,ug N/L,0.499,6.56,227,TP,ug P/L,0.108,1.86,8.9
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S44,86,1,1,TN,ug N/L,0.672,9.23,356,TP,ug P/L,0.126,2.16,18.8
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S45,87,1,1,TN,ug N/L,1.03,14.1,593,TP,ug P/L,0.133,2.28,22.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S46,88,1,1,TN,ug N/L,0.284,4.12,110,TP,ug P/L,0.101,1.77,5.9
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S47,89,1,1,TN,ug N/L,0.631,9.55,372,TP,ug P/L,0.129,2.2,20
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S48,90,1,1,TN,ug N/L,0.362,5.13,159,TP,ug P/L,0.15,2.65,34.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S49,91,1,1,TN,ug N/L,0.754,9.69,378,TP,ug P/L,0.154,2.61,33.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S50,92,1,1,TN,ug N/L,0.41,5.95,198,TP,ug P/L,0.103,1.81,7.16
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,dupS45,93,1,1,TN,ug N/L,1.03,14.3,605,TP,ug P/L,0.132,2.28,22.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,spkS50,94,1,1,TN,ug N/L,0.736,10.1,398,TP,ug P/L,0.143,2.43,27.6
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,chk150/1500,1,1,1,TN,ug N/L,2.44,34.8,1650,TP,ug P/L,0.362,6.07,150
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,chk100/1000,3,1,1,TN,ug N/L,1.75,23,1040,TP,ug P/L,0.271,4.52,97.3
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,chk50/500,5,1,1,TN,ug N/L,0.887,11.9,488,TP,ug P/L,0.184,3.1,49.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,chk25/250,7,1,1,TN,ug N/L,0.581,7.96,295,TP,ug P/L,0.135,2.29,23
