"com_date","miss","field_date","lab_date","upper_date","field_vial_number","lab_vial_number"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"257"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"386"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"80"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"340"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"396"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"133"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"413"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"186"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"319"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"358"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"251"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"178"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"233"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"318"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"373"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"326"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"414"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"59"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"74"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"321"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"356"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"304"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"69"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"68"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"111"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"393"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"228"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"90"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"381"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"113"
2024-01-29,"no_lab_obs",2024-01-29,NA,2024-02-02,305,NA
2024-02-13,"no_lab_obs",2024-02-13,NA,2024-02-17,82,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,193,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,415,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,206,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,203,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,196,NA
2024-04-22,"no_lab_obs",2024-04-22,NA,2024-04-26,277,NA
2024-07-08,"no_lab_obs",2024-07-08,NA,2024-07-12,228,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,358,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,106,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,282,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,177,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,348,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,267,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,122,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,385,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,111,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,393,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,270,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,399,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,179,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,407,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,217,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,41,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,96,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,253,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,147,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,334,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,92,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,21,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,8,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,88,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,97,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,129,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,377,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,314,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,344,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,371,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,180,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,109,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,251,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,120,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,287,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,297,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,345,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,367,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,68,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,391,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,173,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,235,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,324,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,279,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,112,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,238,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,337,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,323,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,127,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,119,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,261,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,16,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,157,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,79,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,136,NA
2024-09-02,"no_lab_obs",2024-09-02,NA,2024-09-06,33,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,284,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,57,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,132,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,361,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,73,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,174,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,30,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,285,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,338,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,166,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,372,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,218,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,366,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,254,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,90,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,143,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,204,NA
2024-09-09,"no_lab_obs",2024-09-09,NA,2024-09-13,312,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,72,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,386,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,370,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,302,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,175,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,113,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,216,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,388,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,150,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,241,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,301,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,274,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,107,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,177,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,96,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,268,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,49,NA
2024-09-17,"no_lab_obs",2024-09-17,NA,2024-09-21,269,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,354,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,191,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,358,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,151,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,213,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,208,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,347,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,147,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,400,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,277,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,153,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,405,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,379,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,68,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,44,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,385,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,307,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,384,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,288,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,313,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,305,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,341,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,318,NA
2024-09-23,"no_lab_obs",2024-09-23,NA,2024-09-27,321,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,39,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,31,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,226,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,348,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,167,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,227,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,71,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,408,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,21,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,215,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,88,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,403,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,219,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,309,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,134,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,359,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,50,NA
2024-10-01,"no_lab_obs",2024-10-01,NA,2024-10-05,41,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,102,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,381,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,129,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,196,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,250,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,375,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,247,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,328,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,373,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,410,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,197,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,105,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,374,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,99,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,407,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,183,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,194,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,152,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,273,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,123,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,334,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,282,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,159,NA
2024-10-07,"no_lab_obs",2024-10-07,NA,2024-10-11,131,NA
