"Sample","Date","Fe_ppb","Mn_ppb","Filter1ID","Filter2ID","Rack","Carousel","SampleNum","Filter1Mass_g","Filter2Mass_g","AcidVol_L","Vol_acid_used_in_dilution_L","Vol_diluted_L","Duration_days","Reservoir","Depth_m","Site","TrapXSA_m2","CombinedCollectionVol_L","CombinedFilterVol_L","CombinedSedMass_g","CombinedXSA_m2","ICPTFe_mgL","ICPTMn_mgL","DilutionFactor","TFe_g","TMn_g"
"1",2022-08-22,16251.0831325017,221.802537527557,"F_sed_4m_R1_F1_22Aug22","F_sed_4m_R1_F2_22Aug22",1,NA,69,0.01,0.011,0.01,5e-04,0.01,14,"FCR",4,50,0.0040715,3604,276,0.021,0.008143,16.2510831325017,0.221802537527557,20,0.0424412344996638,0.000579258221195157
"2",2022-08-22,20478.0739239681,298.797724035188,"F_sed_4m_R2_F1_22Aug22","F_sed_4m_R2_F2_22Aug22",2,NA,70,0.01,0.00900000000000001,0.01,5e-04,0.01,14,"FCR",4,50,0.0040715,3592,282,0.019,0.008143,20.4780739239681,0.298797724035188,20,0.0521682564077259,0.000761192499811628
"3",2022-08-22,63884.3282701245,350.519907709863,"F_sed_8m_R1_F1_22Aug22","F_sed_8m_R1_F2_22Aug22",3,NA,71,0.022,0.021,0.01,5e-04,0.01,14,"FCR",8,50,0.0040715,3636,156,0.043,0.008143,63.8843282701245,0.350519907709863,20,0.297799253320734,0.00163396203132444
"4",2022-08-22,110520.91014743,578.582582265288,"F_sed_8m_R2_F1_22Aug22","F_sed_8m_R2_F2_22Aug22",4,NA,72,0.024,0.026,0.01,5e-04,0.01,14,"FCR",8,50,0.0040715,3682,164,0.05,0.008143,110.52091014743,0.578582582265288,20,0.496265842881509,0.00259797691207414
"5",2022-08-22,13967.453851124,741.512274138554,"B_sed_4m_R1_F1_22Aug22","B_sed_4m_R1_F2_22Aug22",5,NA,73,0.014,0.013,0.01,5e-04,0.01,14,"BVR",4,50,0.0040715,3594,276,0.027,0.008143,13.967453851124,0.741512274138554,20,0.0363761080731448,0.00193115587916954
"6",2022-08-22,10254.2264670597,934.934314418463,"B_sed_4m_R2_F1_22Aug22","B_sed_4m_R2_F2_22Aug22",6,NA,74,0.005,0.011,0.01,5e-04,0.01,14,"BVR",4,50,0.0040715,3600,282,0.016,0.008143,10.2542264670597,0.934934314418463,20,0.0261810037456842,0.00238706633468544
"7",2022-08-22,26269.6802026576,308.925374854676,"B_sed_8m_R1_F1_22Aug22","B_sed_8m_R1_F2_22Aug22",7,NA,75,0.014,0.014,0.01,5e-04,0.01,14,"BVR",8,50,0.0040715,3314,164,0.028,0.008143,26.2696802026576,0.308925374854676,20,0.106167951453179,0.00124851060032731
"8",2022-08-22,25274.2145151166,309.791453352987,"B_sed_8m_R2_F1_22Aug22","B_sed_8m_R2_F2_22Aug22",8,NA,76,0.00900000000000001,0.01,0.01,5e-04,0.01,14,"BVR",8,50,0.0040715,940,166,0.019,0.008143,25.2742145151166,0.309791453352987,20,0.0286238092098911,0.00035084815199013
"1",2022-09-05,17494.2811534181,232.057629229631,"F_sed_4m_R1_F1_05Sep22","F_sed_4m_R1_F2_05Sep22",9,NA,77,0.011,0.012,0.01,5e-04,0.01,14,"FCR",4,50,0.0040715,3666,279,0.023,0.008143,17.4942811534181,0.232057629229631,20,0.0459742184289827,0.000609837468642171
"2",2022-09-05,21402.2692309392,353.370517344909,"F_sed_4m_R2_F1_05Sep22","F_sed_4m_R2_F2_05Sep22",10,NA,78,0.011,0.013,0.01,5e-04,0.01,14,"FCR",4,50,0.0040715,3590,282,0.024,0.008143,21.4022692309392,0.353370517344909,20,0.0544923025099799,0.000899716423594486
"3",2022-09-05,70687.2589640981,386.006594560788,"F_sed_8m_R1_F1_05Sep22","F_sed_8m_R1_F2_05Sep22",11,NA,79,0.022,0.022,0.01,5e-04,0.01,14,"FCR",8,50,0.0040715,3506,161,0.044,0.008143,70.6872589640981,0.386006594560788,20,0.307862770097053,0.00168116660935419
"4",2022-09-05,64624.4486566562,434.833770715437,"F_sed_8m_R2_F1_05Sep22","F_sed_8m_R2_F2_05Sep22",12,NA,80,0.018,0.022,0.01,5e-04,0.01,14,"FCR",8,50,0.0040715,3554,157,0.04,0.008143,64.6244486566562,0.434833770715437,20,0.292579987930899,0.00196866142818174
"5",2022-09-05,9318.83186529445,823.091086158144,"B_sed_4m_R1_F1_05Sep22","B_sed_4m_R1_F2_05Sep22",13,NA,81,0.01,0.011,0.01,5e-04,0.01,14,"BVR",4,50,0.0040715,3564,274,0.021,0.008143,9.31883186529445,0.823091086158144,20,0.0242425669838755,0.00214123841683768
"6",2022-09-05,9589.01821565176,1052.00386643157,"B_sed_4m_R2_F1_05Sep22","B_sed_4m_R2_F2_05Sep22",14,NA,82,0.00800000000000001,0.012,0.01,5e-04,0.01,14,"BVR",4,50,0.0040715,3516,366,0.02,0.008143,9.58901821565176,1.05200386643157,20,0.0184234907356457,0.0020212271007505
"7",2022-09-05,33458.0570412122,308.711165581362,"B_sed_8m_R1_F1_05Sep22","B_sed_8m_R1_F2_05Sep22",15,NA,83,0.016,0.017,0.01,5e-04,0.01,14,"BVR",8,50,0.0040715,3536,166,0.033,0.008143,33.4580570412122,0.308711165581362,20,0.142539385177983,0.00131518395360927
"8",2022-09-05,29084.27286864,274.295326228267,"B_sed_8m_R2_F1_05Sep22","B_sed_8m_R2_F2_05Sep22",16,NA,84,0.012,0.015,0.01,5e-04,0.01,14,"BVR",8,50,0.0040715,3636,160,0.027,0.008143,29.08427286864,0.274295326228267,20,0.132188020187969,0.00124667225770748
"1",2022-09-13,25222.116278605,255.787654316412,"F_sed_4m_R1_F1_13Sep22","F_sed_4m_R1_F2_13Sep22",17,NA,85,0.01,0.011,0.01,5e-04,0.01,8,"FCR",4,50,0.0040715,3420,284,0.021,0.008143,25.222116278605,0.255787654316412,20,0.0607462237132599,0.000616051956170514
"2",2022-09-13,21293.0597331975,222.456339506644,"F_sed_4m_R2_F1_13Sep22","F_sed_4m_R2_F2_13Sep22",18,NA,86,0.00900000000000001,0.011,0.01,5e-04,0.01,8,"FCR",4,50,0.0040715,3536,278,0.02,0.008143,21.2930597331975,0.222456339506644,20,0.054167092961573,0.00056590332121978
"3",2022-09-13,46201.4971910838,454.435498426575,"F_sed_8m_R1_F1_13Sep22","F_sed_8m_R1_F2_13Sep22",19,NA,87,0.014,0.016,0.01,5e-04,0.01,8,"FCR",8,50,0.0040715,3652,164,0.03,0.008143,46.2014971910838,0.454435498426575,20,0.205765692368095,0.00202390053689494
"4",2022-09-13,57354.0519148219,351.202135651257,"F_sed_8m_R2_F1_13Sep22","F_sed_8m_R2_F2_13Sep22",20,NA,88,0.023,0.017,0.01,5e-04,0.01,8,"FCR",8,50,0.0040715,3628,160,0.04,0.008143,57.3540519148219,0.351202135651257,20,0.260100625433717,0.00159270168517845
"5",2022-09-19,8936.47122705049,772.951922904741,"B_sed_4m_R1_F1_19Sep22","B_sed_4m_R1_F2_19Sep22",21,NA,89,0.01,0.011,0.01,5e-04,0.01,14,"BVR",4,50,0.0040715,3560,276,0.021,0.008143,8.93647122705049,0.772951922904741,20,0.0230535054842752,0.00199399191705861
"6",2022-09-19,10253.7873730139,990.32968949543,"B_sed_4m_R2_F1_19Sep22","B_sed_4m_R2_F2_19Sep22",22,NA,90,0.011,0.014,0.01,5e-04,0.01,14,"BVR",4,50,0.0040715,3618,438,0.025,0.008143,10.2537873730139,0.99032968949543,20,0.0169398185915818,0.00163607891168697
"7",2022-09-19,35891.9039257442,568.160111020112,"B_sed_8m_R1_F1_19Sep22","B_sed_8m_R1_F2_19Sep22",23,NA,91,0.015,0.015,0.01,5e-04,0.01,14,"BVR",8,50,0.0040715,3572,272,0.03,0.008143,35.8919039257442,0.568160111020112,20,0.094269030016734,0.00149225582100282
"8",2022-09-19,26923.7563118444,424.173020455497,"B_sed_8m_R2_F1_19Sep22","B_sed_8m_R2_F2_19Sep22",24,NA,92,0.016,0.016,0.01,5e-04,0.01,14,"BVR",8,50,0.0040715,3644,156,0.032,0.008143,26.9237563118444,0.424173020455497,20,0.125782266667129,0.00198164934171773
"1",2022-09-26,27681.8814438671,413.710377381744,"F_sed_4m_R1_F1_26Sep22","F_sed_4m_R1_F2_26Sep22",25,NA,93,0.011,0.013,0.01,5e-04,0.01,13,"FCR",4,50,0.0040715,3584,278,0.024,0.008143,27.6818814438671,0.413710377381744,20,0.0713754410754098,0.00106671798024185
"2",2022-09-26,24439.1897205088,326.367941931839,"F_sed_4m_R2_F1_26Sep22","F_sed_4m_R2_F2_26Sep22",26,NA,94,0.011,0.012,0.01,5e-04,0.01,13,"FCR",4,50,0.0040715,3608,276,0.023,0.008143,24.4391897205088,0.326367941931839,20,0.0638960844286926,0.000853286619195706
"3",2022-09-26,57047.4432080664,514.169989258898,"F_sed_8m_R1_F1_26Sep22","F_sed_8m_R1_F2_26Sep22",27,NA,95,0.018,0.019,0.01,5e-04,0.01,13,"FCR",8,50,0.0040715,3460,158,0.037,0.008143,57.0474432080664,0.514169989258898,20,0.249853358860645,0.00225193438333644
"4",2022-09-26,93978.4708905369,582.100184644064,"F_sed_8m_R2_F1_26Sep22","F_sed_8m_R2_F2_26Sep22",28,NA,96,0.026,0.025,0.01,5e-04,0.01,13,"FCR",8,50,0.0040715,3572,158,0.051,0.008143,93.9784708905369,0.582100184644064,20,0.424925440532909,0.00263197703740328
"1",2022-10-11,18447.0203873125,1265.65036302895,"F_sed_4m_R1_F1_11Oct22","F_sed_4m_R1_F2_11Oct22",29,NA,97,0.01,0.012,0.01,0.005,0.01,15,"FCR",4,50,0.0040715,3540,282,0.022,0.008143,18.4470203873125,1.26565036302895,20,0.0463137958660186,0.00317759027313652
"2",2022-10-11,23445.8244737459,1244.66606161612,"F_sed_4m_R2_F1_11Oct22","F_sed_4m_R2_F2_11Oct22",30,NA,98,0.013,0.014,0.01,0.005,0.01,15,"FCR",4,50,0.0040715,3656,282,0.027,0.008143,23.4458244737459,1.24466606161612,20,0.0607928611886632,0.00322730434132521
"3",2022-10-11,73954.8469167658,1289.17957890754,"F_sed_8m_R1_F1_11Oct22","F_sed_8m_R1_F2_11Oct22",31,NA,99,0.032,0.032,0.01,0.005,0.01,15,"FCR",8,50,0.0040715,3548,156,0.064,0.008143,73.9548469167658,1.28917957890754,20,0.336399739564981,0.00586411428969738
"4",2022-10-11,57401.6927919803,976.654566115924,"F_sed_8m_R2_F1_11Oct22","F_sed_8m_R2_F2_11Oct22",32,NA,100,0.026,0.026,0.01,5e-04,0.01,15,"FCR",8,50,0.0040715,3548,154,0.052,0.008143,57.4016927919803,0.976654566115924,20,0.264495072760969,0.00450022129945364
"5",2022-10-11,29750.7188944303,5192.58016821495,"B_sed_4m_R1_F1_11Oct22","B_sed_4m_R1_F2_11Oct22",1,NA,103,0.032,0.035,0.01,5e-04,0.01,22,"BVR",4,50,0.0040715,3448,278,0.067,0.008143,29.7507188944303,5.19258016821495,20,0.0737989055740976,0.0128805873525217
"6",2022-10-11,34414.5258809279,4627.15592753621,"B_sed_4m_R2_F1_11Oct22","B_sed_4m_R2_F2_11Oct22",2,NA,104,0.033,0.036,0.01,5e-04,0.01,22,"BVR",4,50,0.0040715,3508,278,0.069,0.008143,34.4145258809279,4.62715592753621,20,0.0868533502088454,0.0116777431610051
"7",2022-10-11,57251.6366050295,946.451574441165,"B_sed_8m_R1_F1_11Oct22","B_sed_8m_R1_F2_11Oct22",3,NA,105,0.048,0.046,0.01,5e-04,0.01,22,"BVR",8,50,0.0040715,3468,160,0.094,0.008143,57.2516366050295,0.946451574441165,20,0.248185844682803,0.00410286757520245
"8",2022-10-11,60490.1272784785,847.054152191327,"B_sed_8m_R2_F1_11Oct22","B_sed_8m_R2_F2_11Oct22",4,NA,106,0.035,0.039,0.01,5e-04,0.01,22,"BVR",8,50,0.0040715,3640,166,0.074,0.008143,60.4901272784785,0.847054152191327,20,0.265282003968267,0.00371479170358606
"1",2022-10-17,6355.40072127925,1987.51500118026,"F_sed_4m_R1_F1_17Oct22","F_sed_4m_R1_F2_17Oct22",5,NA,107,0.005,0.004,0.01,5e-04,0.01,6,"FCR",4,50,0.0040715,3540,438,0.009,0.008143,6.35540072127925,1.98751500118026,20,0.0102731134946706,0.00321269548135987
"2",2022-10-17,7087.14508259236,2151.49123087707,"F_sed_4m_R2_F1_17Oct22","F_sed_4m_R2_F2_17Oct22",6,NA,108,0.004,0.004,0.01,5e-04,0.01,6,"FCR",4,50,0.0040715,3436,438,0.008,0.008143,7.08714508259236,2.15149123087707,20,0.0111193746592636,0.00337558167547653
"3",2022-10-17,25116.0001979496,827.039049437496,"F_sed_8m_R1_F1_17Oct22","F_sed_8m_R1_F2_17Oct22",7,NA,109,0.014,0.015,0.01,5e-04,0.01,6,"FCR",8,50,0.0040715,3212,162,0.029,0.008143,25.1160001979496,0.827039049437496,20,0.0995957933775483,0.0032795671935719
"4",2022-10-17,31810.2115017369,853.340219224883,"F_sed_8m_R2_F1_17Oct22","F_sed_8m_R2_F2_17Oct22",8,NA,110,0.017,0.015,0.01,5e-04,0.01,6,"FCR",8,50,0.0040715,3608,162,0.032,0.008143,31.8102115017369,0.853340219224883,20,0.141692892713909,0.00380105124810293
"5",2022-10-24,27630.0465166536,3086.2246247724,"B_sed_4m_R1_F1_24Oct22","B_sed_4m_R1_F2_24Oct22",9,NA,111,0.02,0.022,0.01,5e-04,0.01,13,"BVR",4,50,0.0040715,3110,282,0.042,0.008143,27.6300465166536,3.0862246247724,20,0.060942868558009,0.00680720466882423
"6",2022-10-24,29693.9703363434,3157.59103852866,"B_sed_4m_R2_F1_24Oct22","B_sed_4m_R2_F2_24Oct22",10,NA,112,0.023,0.024,0.01,5e-04,0.01,13,"BVR",4,50,0.0040715,2418,282,0.047,0.008143,29.6939703363434,3.15759103852865,20,0.0509220001938144,0.00541493271713638
"7",2022-10-24,32422.0186486849,592.739552573035,"B_sed_8m_R1_F1_24Oct22","B_sed_8m_R1_F2_24Oct22",11,NA,113,0.021,0.017,0.01,5e-04,0.01,13,"BVR",8,50,0.0040715,3476,164,0.038,0.008143,32.4220186486849,0.592739552573035,20,0.137437727832718,0.00251263742041935
"8",2022-10-24,35025.9217896898,501.709069798575,"B_sed_8m_R2_F1_24Oct22","B_sed_8m_R2_F2_24Oct22",12,NA,114,0.017,0.02,0.01,5e-04,0.01,13,"BVR",8,50,0.0040715,3468,162,0.037,0.008143,35.0259217896898,0.501709069798575,20,0.149962835514376,0.0021480580914339
"1",2022-11-01,28190.7792319934,5570.61532599683,"F_sed_4m_R1_F1_01Nov22","F_sed_4m_R1_F2_01Nov22",13,NA,115,0.017,0.016,0.01,5e-04,0.01,15,"FCR",4,50,0.0040715,2198,244,0.033,0.008143,28.1907792319934,5.57061532599683,20,0.0507896170097718,0.0100362397430664
"2",2022-11-01,32617.1492618365,6335.46702463211,"F_sed_4m_R2_F1_01Nov22","F_sed_4m_R2_F2_01Nov22",14,NA,116,0.023,0.023,0.01,5e-04,0.01,15,"FCR",4,50,0.0040715,1640,240,0.046,0.008143,32.6171492618365,6.33546702463211,20,0.0445767706578433,0.00865847160033054
"3",2022-11-01,52036.794508786,1697.51529084911,"F_sed_8m_R1_F1_01Nov22","F_sed_8m_R1_F2_01Nov22",15,NA,117,0.031,0.031,0.01,5e-04,0.01,15,"FCR",8,50,0.0040715,3428,160,0.062,0.008143,52.036794508786,1.69751529084911,20,0.222977664470148,0.00727385302128846
"4",2022-11-01,53062.6674520025,1905.66566791616,"F_sed_8m_R2_F1_01Nov22","F_sed_8m_R2_F2_01Nov22",16,NA,118,0.033,0.035,0.01,5e-04,0.01,15,"FCR",8,50,0.0040715,3530,158,0.068,0.008143,53.0626674520025,1.90566566791616,20,0.237102805196923,0.00851518963005574
"5",2022-11-08,13292.2274494297,1426.39133756448,"B_sed_4m_R1_F1_08Nov22","B_sed_4m_R1_F2_08Nov22",17,NA,119,0.013,0.015,0.01,5e-04,0.01,15,"BVR",4,50,0.0040715,3572,296,0.028,0.008143,13.2922274494297,1.42639133756448,20,0.0320809705738938,0.00344261476877048
"6",2022-11-08,9082.1318398005,1511.26937281889,"B_sed_4m_R2_F1_08Nov22","B_sed_4m_R2_F2_08Nov22",18,NA,120,0.01,0.00900000000000001,0.01,5e-04,0.01,15,"BVR",4,50,0.0040715,3516,296,0.019,0.008143,9.0821318398005,1.51126937281889,20,0.0215761996950936,0.00359028588839947
"7",2022-11-08,18256.540721878,464.340748512364,"B_sed_8m_R1_F1_08Nov22","B_sed_8m_R1_F2_08Nov22",19,NA,121,0.01,0.013,0.01,5e-04,0.01,15,"BVR",8,50,0.0040715,3548,160,0.023,0.008143,18.256540721878,0.464340748512364,20,0.0809677581015289,0.00205935121965234
"8",2022-11-08,18310.1420017792,401.928866220129,"B_sed_8m_R2_F1_08Nov22","B_sed_8m_R2_F2_08Nov22",20,NA,122,0.011,0.012,0.01,5e-04,0.01,15,"BVR",8,50,0.0040715,3532,164,0.023,0.008143,18.3101420017792,0.401928866220129,20,0.0788675872564442,0.00173123506767012
"1",2022-11-16,10834.9474384986,2444.52106794233,"F_sed_4m_R1_F1_16Nov22","F_sed_4m_R1_F2_16Nov22",21,NA,123,0.011,0.012,0.01,5e-04,0.01,15,"FCR",4,50,0.0040715,3684,282,0.023,0.008143,10.8349474384986,2.44452106794233,20,0.0283091818180346,0.00638696142858124
"2",2022-11-16,9587.10411676065,1624.82852941049,"F_sed_4m_R2_F1_16Nov22","F_sed_4m_R2_F2_16Nov22",22,NA,124,0.012,0.011,0.01,5e-04,0.01,15,"FCR",4,50,0.0040715,3616,284,0.023,0.008143,9.58710411676065,1.62482852941049,20,0.0244133580888778,0.00413759152278053
"3",2022-11-16,55065.1422111939,2461.33544365776,"F_sed_8m_R1_F1_16Nov22","F_sed_8m_R1_F2_16Nov22",23,NA,125,0.049,0.052,0.01,5e-04,0.01,15,"FCR",8,50,0.0040715,3594,202,0.101,0.008143,55.0651422111939,2.46133544365776,20,0.195944674363397,0.00875845503416435
"4",2022-11-16,44755.8150647518,2159.53882803294,"F_sed_8m_R2_F1_16Nov22","F_sed_8m_R2_F2_16Nov22",24,NA,126,0.039,0.039,0.01,5e-04,0.01,15,"FCR",8,50,0.0040715,3546,160,0.078,0.008143,44.7558150647518,2.15953882803294,20,0.198380150274512,0.00957215585525602
"5",2022-11-16,10664.5169020724,826.579169080161,"B_sed_4m_R1_F1_16Nov22","B_sed_4m_R1_F2_16Nov22",25,NA,127,0.016,0.015,0.01,5e-04,0.01,8,"BVR",4,50,0.0040715,3520,282,0.031,0.008143,10.6645169020724,0.826579169080161,20,0.0266234748193579,0.00206351679089515
"6",2022-11-16,10504.8204145034,856.608859046742,"B_sed_4m_R2_F1_16Nov22","B_sed_4m_R2_F2_16Nov22",26,NA,128,0.015,0.015,0.01,5e-04,0.01,8,"BVR",4,50,0.0040715,3590,278,0.03,0.008143,10.5048204145034,0.856608859046742,20,0.0271311548835016,0.00221239266473223
"7",2022-11-16,17847.7046885661,430.770265943386,"B_sed_8m_R1_F1_16Nov22","B_sed_8m_R1_F2_16Nov22",27,NA,129,0.02,0.018,0.01,5e-04,0.01,8,"BVR",8,50,0.0040715,3604,302,0.038,0.008143,17.8477046885661,0.430770265943386,20,0.042598097812975,0.00102814307182779
"8",2022-11-16,17664.6936963811,451.906670076705,"B_sed_8m_R2_F1_16Nov22","B_sed_8m_R2_F2_16Nov22",28,NA,130,0.02,0.021,0.01,5e-04,0.01,8,"BVR",8,50,0.0040715,3612,298,0.041,0.008143,17.6646936963811,0.451906670076705,20,0.0428220628398179,0.00109549455860205
"1",2022-11-28,11643.8599272577,2034.40098227204,"F_sed_4m_R1_F1_28Nov22","F_sed_4m_R1_F2_28Nov22",29,NA,131,0.012,0.015,0.01,0.005,0.01,12,"FCR",4,50,0.0040715,3548,298,0.027,0.008143,11.6438599272577,2.03440098227204,20,0.0277264530348391,0.00484433200342362
"2",2022-11-28,11140.2665183737,1603.67509929211,"F_sed_4m_R2_F1_28Nov22","F_sed_4m_R2_F2_28Nov22",30,NA,132,0.012,0.012,0.01,0.005,0.01,12,"FCR",4,50,0.0040715,3624,282,0.024,0.008143,11.1402665183737,1.60367509929211,20,0.0286328552216924,0.00412178621264866
"3",2022-11-28,20098.7729439364,1295.23671083014,"F_sed_8m_R1_F1_28Nov22","F_sed_8m_R1_F2_28Nov22",31,NA,133,0.019,0.02,0.01,0.005,0.01,12,"FCR",8,50,0.0040715,3584,202,0.039,0.008143,20.0987729439363,1.29523671083014,20,0.071320794288186,0.00459616670456953
"4",2022-11-28,17703.5749130801,1217.38614402854,"F_sed_8m_R2_F1_28Nov22","F_sed_8m_R2_F2_28Nov22",32,NA,134,0.017,0.015,0.01,5e-04,0.01,12,"FCR",8,50,0.0040715,3520,160,0.032,0.008143,17.7035749130801,1.21738614402854,20,0.0778957296175524,0.00535649903372556
"5",2022-11-28,12535.0712408121,1283.98354659168,"B_sed_4m_R1_F1_28Nov22","B_sed_4m_R1_F2_28Nov22",33,NA,135,0.015,0.015,0.01,0.005,0.01,12,"BVR",4,50,0.0040715,3284,302,0.03,0.008143,12.5350712408121,1.28398354659168,20,0.0272617046058456,0.00279245163377952
"6",2022-11-28,9329.05398546079,737.2272985953,"B_sed_4m_R2_F1_28Nov22","B_sed_4m_R2_F2_28Nov22",34,NA,136,0.014,0.016,0.01,0.005,0.01,12,"BVR",4,50,0.0040715,3348,300,0.03,0.008143,9.32905398546079,0.7372272985953,20,0.0208224484955485,0.00164549133046471
"7",2022-11-28,11690.6220136456,745.863762503021,"B_sed_8m_R1_F1_28Nov22","B_sed_8m_R1_F2_28Nov22",35,NA,137,0.015,0.015,0.01,0.005,0.01,12,"BVR",8,50,0.0040715,2844,240,0.03,0.008143,11.6906220136456,0.745863762503021,20,0.0277067741723401,0.00176769711713216
"8",2022-11-28,10343.8783645869,667.876863876193,"B_sed_8m_R2_F1_28Nov22","B_sed_8m_R2_F2_28Nov22",36,NA,138,0.012,0.013,0.01,5e-04,0.01,12,"BVR",8,50,0.0040715,3464,242,0.025,0.008143,10.3438783645869,0.667876863876193,20,0.0296125575660569,0.00191200450947697
